system:index,bio01_temp,bio12_precip,bio15_precip_season,elevation,label,landforms,soil_clay,soil_oc,soil_ph,.geo
0_0,143.0,1144.0,20.0,328,176,21,19,3,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,163.0,1149.0,25.0,143,176,34,14,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,149.0,1148.0,27.0,341,176,24,18,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,157.0,1043.0,22.0,183,122,21,15,2,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,157.0,1342.0,22.0,272,142,31,15,7,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,149.0,1197.0,20.0,421,142,21,20,7,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,144.0,1194.0,20.0,375,141,42,19,7,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,135.0,1143.0,24.0,418,121,24,23,4,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,144.0,1161.0,20.0,325,141,21,20,6,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,154.0,1200.0,22.0,225,176,41,18,4,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,156.0,1143.0,21.0,149,176,31,17,4,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,144.0,1103.0,19.0,198,111,41,26,10,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,152.0,1410.0,19.0,230,142,31,22,5,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,146.0,1144.0,20.0,268,141,31,20,5,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,152.0,1240.0,19.0,220,141,21,18,5,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,165.0,1330.0,16.0,86,142,21,21,5,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,170.0,1261.0,18.0,59,3,34,37,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,167.0,1307.0,16.0,102,142,34,14,6,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,140.0,1228.0,22.0,518,141,22,18,4,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,140.0,1207.0,21.0,620,141,22,20,7,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,135.0,1215.0,21.0,614,141,32,15,3,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,155.0,1455.0,18.0,217,142,31,15,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,164.0,1376.0,17.0,92,142,41,15,5,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,160.0,1155.0,25.0,176,176,34,16,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,150.0,1304.0,19.0,206,176,21,14,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,165.0,1336.0,15.0,75,190,34,22,6,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,144.0,1132.0,26.0,333,176,21,16,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,138.0,1147.0,17.0,169,176,34,16,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,151.0,1279.0,18.0,222,121,21,15,6,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,157.0,1381.0,20.0,216,176,21,17,4,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,166.0,1324.0,15.0,94,142,24,8,3,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,153.0,1143.0,27.0,277,141,22,16,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,147.0,1140.0,26.0,326,141,24,15,4,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,144.0,1236.0,19.0,367,141,22,18,9,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,156.0,1044.0,21.0,220,142,22,16,7,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,135.0,1147.0,25.0,417,141,21,15,4,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,152.0,1304.0,19.0,213,176,24,15,3,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,135.0,1126.0,22.0,410,176,31,13,3,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,156.0,1169.0,19.0,127,176,41,17,2,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,141.0,1121.0,26.0,295,176,41,18,5,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,146.0,1161.0,25.0,326,141,22,14,5,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,170.0,1284.0,17.0,56,61,34,37,2,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,134.0,1217.0,21.0,621,141,22,13,4,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,159.0,1253.0,19.0,120,176,34,16,3,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,138.0,1194.0,21.0,532,141,31,16,4,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
