sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
3_0,17.1,1323.0,17.0,51,34,21,2,5.9,5
29_0,15.8,1216.0,18.0,72,24,16,2,6.1,2
61_0,15.9,1226.0,19.0,73,24,18,2,6.1,3
70_0,14.4,1205.0,16.0,85,24,10,1,6.2,99
74_0,16.4,1318.0,20.0,47,34,26,2,6.4,1
95_0,16.1,1335.0,22.0,61,34,23,2,6.2,99
103_0,14.6,1204.0,16.0,90,34,13,2,6.0,5
108_0,17.0,1359.0,21.0,40,34,46,3,6.2,5
151_0,15.6,1247.0,20.0,66,41,16,2,6.1,1
173_0,15.5,1249.0,19.0,67,34,33,2,6.3,1
175_0,16.8,1318.0,21.0,49,24,31,8,6.7,3
176_0,16.6,1353.0,20.0,50,24,17,2,5.9,2
186_0,16.1,1263.0,20.0,64,34,22,2,6.0,5
188_0,16.1,1285.0,21.0,59,34,33,2,6.5,1
210_0,16.7,1351.0,21.0,51,34,34,3,5.9,3
218_0,15.9,1393.0,20.0,102,42,15,3,5.3,3
219_0,15.9,1285.0,20.0,86,24,15,7,5.7,3
220_0,16.5,1352.0,20.0,49,34,17,2,5.8,1
222_0,15.8,1237.0,20.0,69,24,11,2,6.0,5
241_0,14.8,1220.0,18.0,83,41,12,2,6.0,5
242_0,16.0,1251.0,20.0,64,31,36,4,6.0,5
249_0,15.9,1230.0,18.0,69,24,20,2,5.6,1
250_0,14.2,1199.0,16.0,139,21,15,2,5.8,5
323_0,15.7,1218.0,18.0,71,34,22,4,5.9,3
339_0,17.1,1394.0,21.0,46,34,26,5,6.1,5
342_0,16.0,1253.0,19.0,62,24,25,3,6.3,5
347_0,16.2,1266.0,19.0,57,34,35,5,6.2,99
353_0,14.3,1193.0,17.0,181,31,17,4,5.5,2
359_0,16.0,1289.0,20.0,58,34,18,2,6.0,5
368_0,16.2,1277.0,20.0,71,24,25,4,6.3,5
390_0,15.9,1263.0,20.0,66,24,39,3,6.2,1
398_0,17.0,1365.0,21.0,42,24,22,3,6.1,5
416_0,14.8,1234.0,19.0,82,24,10,2,6.0,5
438_0,17.1,1337.0,21.0,39,41,56,3,6.0,5
439_0,16.3,1289.0,20.0,51,24,31,6,6.3,3
443_0,14.1,1205.0,16.0,118,31,17,3,6.2,99
468_0,17.0,1410.0,21.0,83,21,15,3,5.8,2
472_0,16.5,1266.0,20.0,61,24,20,2,5.8,5
498_0,15.2,1217.0,18.0,77,24,23,3,6.5,99
521_0,16.1,1399.0,20.0,96,21,11,2,5.4,5
532_0,15.9,1228.0,18.0,70,24,24,3,5.7,3
548_0,16.2,1280.0,20.0,67,34,27,6,6.1,5
553_0,16.7,1375.0,21.0,45,34,23,2,6.0,99
555_0,16.6,1271.0,19.0,59,24,22,3,5.9,1
557_0,16.7,1310.0,19.0,60,24,26,5,5.4,5
