sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
0_0,16.0,455.0,87.0,48,34,24,2,7.6,1
3_0,14.7,701.0,92.0,5,34,29,2,6.9,1
8_0,9.1,1010.0,75.0,1333,21,15,9,6.1,1
17_0,16.9,957.0,78.0,150,24,22,4,7.0,1
19_0,15.9,454.0,88.0,2,24,30,4,7.3,1
31_0,16.3,604.0,80.0,47,34,26,4,7.2,1
33_0,11.7,1545.0,82.0,887,32,22,6,5.8,1
46_0,5.8,809.0,66.0,2016,22,9,13,6.0,1
47_0,6.6,1210.0,72.0,1845,21,11,14,5.4,1
50_0,15.6,394.0,85.0,-1,34,29,3,7.5,1
63_0,16.4,1078.0,79.0,255,22,26,2,6.9,1
85_0,8.2,1310.0,77.0,1635,21,10,18,5.9,1
99_0,16.4,509.0,85.0,16,34,29,3,7.4,1
107_0,16.5,474.0,84.0,12,34,33,5,7.3,1
131_0,16.2,561.0,93.0,32,34,24,3,6.9,1
135_0,5.7,1153.0,72.0,2126,23,6,13,5.6,1
169_0,8.2,1073.0,74.0,1483,31,14,9,5.6,1
173_0,9.7,1083.0,78.0,1252,41,14,10,5.8,1
210_0,16.2,475.0,88.0,30,24,27,2,7.2,1
216_0,16.1,501.0,83.0,104,21,23,3,7.2,1
265_0,15.9,424.0,84.0,17,24,33,2,7.4,1
299_0,15.6,367.0,85.0,-8,24,31,5,7.9,1
303_0,14.4,660.0,87.0,224,12,30,3,7.1,1
304_0,13.4,1290.0,81.0,691,31,24,6,6.0,1
346_0,7.6,1463.0,77.0,1745,31,12,14,5.5,1
373_0,16.2,479.0,88.0,36,32,24,2,7.5,1
379_0,16.0,451.0,83.0,20,24,19,2,6.9,1
398_0,15.6,410.0,87.0,-1,24,21,5,7.0,1
408_0,16.4,468.0,83.0,5,34,44,3,7.8,1
434_0,6.5,705.0,62.0,1772,22,10,9,6.0,1
450_0,7.6,1233.0,76.0,1685,31,11,14,5.7,1
473_0,15.2,457.0,89.0,1,34,31,2,7.3,1
510_0,15.2,893.0,73.0,560,11,23,4,7.1,1
532_0,16.2,645.0,81.0,53,34,27,3,7.2,1
533_0,6.3,1277.0,73.0,2002,22,11,14,5.5,1
543_0,7.4,1122.0,73.0,1692,21,13,11,5.8,1
562_0,5.9,654.0,58.0,1910,21,13,8,6.2,1
582_0,16.0,459.0,83.0,21,34,37,4,7.4,1
590_0,16.0,501.0,89.0,87,31,23,3,7.4,1
613_0,15.5,395.0,89.0,31,22,23,4,7.4,1
624_0,9.1,1318.0,79.0,1465,41,15,15,5.8,1
683_0,16.0,609.0,93.0,61,22,25,3,7.0,1
704_0,16.3,639.0,86.0,55,21,21,2,7.2,1
708_0,15.9,448.0,86.0,15,34,22,2,7.3,1
710_0,14.7,729.0,91.0,67,21,28,2,7.3,1
733_0,16.3,584.0,83.0,88,21,24,2,7.4,1
736_0,9.3,1161.0,78.0,1361,33,17,12,5.1,1
749_0,16.4,474.0,84.0,7,34,45,5,7.6,1
756_0,7.6,1044.0,73.0,1559,32,12,12,5.9,1
764_0,16.0,440.0,81.0,62,32,25,3,6.5,1
765_0,8.0,908.0,75.0,1450,22,12,10,6.2,1
774_0,16.0,581.0,79.0,204,31,23,2,7.2,1
796_0,15.9,522.0,89.0,120,31,31,3,7.3,1
811_0,11.2,925.0,83.0,1056,22,20,13,5.2,1
819_0,16.6,538.0,85.0,20,24,23,2,7.0,1
839_0,8.2,1225.0,71.0,1412,21,17,9,5.7,1
900_0,4.2,744.0,57.0,2205,21,11,10,5.5,1
902_0,16.2,445.0,85.0,7,34,40,4,6.9,1
908_0,6.5,756.0,63.0,1774,22,10,11,5.7,1
927_0,6.6,1232.0,74.0,1844,41,15,15,6.1,1
930_0,16.1,808.0,74.0,290,41,23,5,6.9,1
960_0,15.8,438.0,86.0,29,24,31,3,7.3,1
971_0,8.4,1348.0,77.0,1640,22,12,13,5.5,1
1053_0,6.2,961.0,63.0,1816,32,10,11,6.0,1
1061_0,12.2,1358.0,78.0,1245,21,21,8,5.6,1
1068_0,16.0,445.0,85.0,34,24,26,2,7.8,1
1091_0,8.3,1637.0,78.0,1723,31,8,11,5.5,1
1121_0,16.1,737.0,80.0,101,31,22,2,7.1,1
1123_0,16.0,831.0,73.0,366,32,21,5,7.0,1
1139_0,11.0,1753.0,79.0,1395,22,20,14,5.3,1
1142_0,15.6,476.0,88.0,98,22,33,4,7.2,1
1145_0,16.2,545.0,79.0,164,32,25,2,7.0,1
1157_0,16.2,554.0,83.0,26,24,37,4,7.6,1
1166_0,16.1,464.0,88.0,5,41,29,2,7.7,1
1175_0,6.7,781.0,64.0,1685,34,9,8,5.6,1
1178_0,16.2,489.0,88.0,37,21,24,4,7.2,1
1194_0,12.7,1339.0,79.0,1098,32,20,7,5.8,1
1197_0,9.4,373.0,61.0,1246,34,18,2,7.7,1
1208_0,16.7,534.0,83.0,20,24,29,2,7.2,1
1210_0,12.8,1398.0,83.0,837,22,24,8,5.3,1
1219_0,16.3,599.0,84.0,28,34,40,4,7.2,1
1237_0,6.8,686.0,64.0,1692,41,8,9,5.7,1
1281_0,16.6,537.0,80.0,93,34,22,4,6.7,1
1282_0,10.3,1377.0,83.0,1246,21,19,10,5.3,1
1285_0,7.5,1171.0,71.0,1493,41,14,12,5.5,1
1345_0,6.3,526.0,57.0,1803,23,6,9,6.1,1
1347_0,16.4,609.0,84.0,28,34,23,2,7.2,1
1368_0,16.0,498.0,88.0,76,21,24,3,7.3,1
1383_0,13.7,1197.0,79.0,1044,23,22,9,5.5,1
1393_0,9.6,1512.0,77.0,1402,22,16,17,5.6,1
1399_0,15.9,446.0,85.0,38,24,28,2,7.4,1
1408_0,9.2,1510.0,78.0,1486,22,14,12,5.6,1
1414_0,16.1,571.0,84.0,172,21,26,3,7.0,1
1418_0,16.2,557.0,83.0,22,24,42,3,7.1,1
1421_0,15.9,515.0,93.0,25,24,23,3,7.2,1
1427_0,16.8,551.0,79.0,83,24,20,2,7.2,1
1433_0,16.0,831.0,73.0,371,22,23,4,6.9,1
1457_0,16.4,1071.0,79.0,246,32,23,4,7.0,1
1470_0,7.1,471.0,57.0,1627,31,22,4,6.3,1
1483_0,16.7,553.0,77.0,117,34,19,2,6.8,1
1491_0,15.6,441.0,83.0,17,41,25,4,7.3,1
1512_0,13.3,1308.0,78.0,1012,22,22,7,5.8,1
1523_0,14.1,789.0,89.0,615,22,21,4,6.9,1
1530_0,17.0,844.0,75.0,143,22,22,2,6.9,1
1562_0,15.8,919.0,72.0,406,32,22,3,7.0,1
1579_0,15.9,444.0,86.0,12,24,29,2,7.4,1
1595_0,14.3,938.0,71.0,670,21,20,4,6.8,1
1608_0,16.3,478.0,87.0,4,34,37,5,7.5,1
1626_0,15.8,461.0,90.0,7,24,26,2,7.2,1
1642_0,16.6,609.0,85.0,23,34,33,5,6.7,1
1665_0,7.7,558.0,64.0,1541,32,22,7,6.7,1
1670_0,16.3,495.0,88.0,26,24,30,2,7.2,1
1683_0,6.3,1101.0,72.0,1883,32,12,13,5.6,1
1701_0,4.3,1013.0,60.0,2183,22,9,10,5.4,1
1718_0,14.4,1119.0,81.0,707,21,20,5,5.8,1
1722_0,12.4,1454.0,79.0,1097,22,22,9,5.9,1
1730_0,16.6,524.0,84.0,17,24,26,2,7.2,1
1740_0,16.3,555.0,78.0,158,32,23,3,7.2,1
1786_0,15.7,428.0,88.0,2,34,26,2,7.6,1
1791_0,16.4,472.0,84.0,4,24,45,4,7.5,1
1803_0,7.0,1089.0,68.0,1688,21,11,10,5.7,1
1805_0,16.0,418.0,82.0,40,34,22,3,7.4,1
1825_0,16.4,465.0,85.0,7,34,32,2,7.5,1
1844_0,10.0,1040.0,78.0,1072,41,20,8,6.3,1
1864_0,15.5,1027.0,83.0,185,42,21,6,6.4,1
1904_0,14.7,915.0,71.0,650,21,18,3,6.7,1
1935_0,16.1,571.0,84.0,124,21,22,3,6.9,1
1964_0,11.5,1597.0,82.0,1017,22,24,8,5.5,1
1971_0,8.0,1100.0,76.0,1548,33,14,18,5.5,1
1983_0,8.7,1141.0,76.0,1352,33,15,15,5.6,1
1984_0,15.5,575.0,82.0,273,22,32,3,7.4,1
2009_0,12.3,1417.0,82.0,648,42,21,7,6.2,1
2012_0,6.7,1110.0,72.0,1898,22,12,13,5.7,1
2019_0,13.1,1374.0,79.0,1091,21,20,8,5.6,1
2020_0,8.1,1361.0,77.0,1676,21,13,14,5.6,1
2039_0,16.4,804.0,82.0,75,42,21,4,7.3,1
2046_0,16.0,453.0,88.0,11,41,29,4,7.1,1
2054_0,7.8,1311.0,76.0,1752,22,10,16,5.5,1
2085_0,14.1,1189.0,82.0,654,32,20,5,5.7,1
2088_0,11.8,1459.0,84.0,902,32,24,9,5.6,1
2127_0,15.3,928.0,83.0,429,21,24,4,7.4,1
2150_0,15.9,443.0,82.0,41,24,18,2,6.8,1
2157_0,15.5,411.0,84.0,3,34,16,2,7.8,1
2168_0,16.0,482.0,82.0,91,21,27,2,7.0,1
2189_0,10.4,1042.0,78.0,1042,32,19,7,6.4,1
2210_0,7.0,942.0,67.0,1637,31,11,9,5.5,1
2214_0,8.0,1394.0,76.0,1689,22,15,13,5.3,1
2216_0,16.4,530.0,80.0,98,24,19,2,7.2,1
2218_0,16.1,627.0,81.0,47,24,21,2,7.1,1
2227_0,11.9,1513.0,78.0,1258,22,20,10,5.8,1
2231_0,16.1,485.0,83.0,24,34,40,5,7.2,1
2232_0,16.1,493.0,87.0,25,24,28,2,7.6,1
2238_0,12.7,1333.0,78.0,1097,21,20,7,5.6,1
2245_0,15.1,757.0,91.0,48,34,26,3,7.2,1
2250_0,6.0,1180.0,71.0,1989,22,6,18,5.2,1
2252_0,14.9,742.0,82.0,462,21,20,3,7.1,1
2271_0,14.8,585.0,90.0,23,32,21,3,7.0,1
2288_0,7.8,1550.0,77.0,1787,31,6,14,5.4,1
2316_0,10.4,1475.0,79.0,1522,11,20,9,5.9,1
2319_0,15.9,455.0,88.0,28,24,29,2,7.4,1
2325_0,15.3,628.0,81.0,344,34,27,3,7.1,1
2340_0,7.7,1181.0,76.0,1610,32,13,18,5.5,1
2344_0,16.4,558.0,84.0,51,21,22,2,7.4,1
2351_0,15.7,930.0,84.0,239,31,24,5,7.0,1
2377_0,16.4,581.0,84.0,66,21,24,2,7.6,1
2380_0,14.7,622.0,91.0,18,31,21,4,7.1,1
2388_0,14.6,778.0,91.0,339,41,24,3,6.9,1
2389_0,16.6,524.0,85.0,18,34,23,2,7.3,1
2406_0,13.8,1031.0,91.0,508,31,23,3,6.7,1
2412_0,16.6,748.0,76.0,206,21,26,2,7.2,1
2417_0,16.4,603.0,86.0,36,34,20,2,7.3,1
2422_0,13.8,1028.0,91.0,548,32,22,7,5.9,1
2442_0,9.1,1448.0,78.0,1459,33,15,12,5.6,1
2453_0,15.4,523.0,92.0,11,34,32,2,7.4,1
2459_0,9.2,1008.0,77.0,1337,22,18,8,5.7,1
2474_0,15.5,402.0,85.0,2,24,15,2,7.4,1
2483_0,11.3,1463.0,85.0,1028,21,19,9,5.4,1
2495_0,16.8,618.0,77.0,104,24,25,2,7.3,1
2534_0,7.0,728.0,66.0,1617,41,8,8,5.6,1
2540_0,16.2,747.0,84.0,90,41,24,3,7.2,1
2564_0,15.8,430.0,88.0,1,24,30,3,7.5,1
2585_0,4.6,817.0,59.0,2246,12,10,16,5.8,1
2611_0,15.0,743.0,83.0,382,31,21,4,6.3,1
2614_0,16.6,593.0,84.0,24,24,22,2,7.1,1
2615_0,9.3,901.0,75.0,1234,31,17,8,6.0,1
2616_0,16.1,517.0,82.0,45,24,21,3,7.2,1
2628_0,16.3,554.0,92.0,38,24,25,3,6.8,1
2629_0,16.3,502.0,88.0,20,41,21,3,7.4,1
2673_0,14.2,800.0,90.0,470,22,24,4,6.5,1
2676_0,12.0,1564.0,79.0,1075,42,20,8,5.7,1
2678_0,16.0,470.0,83.0,26,24,30,2,7.2,1
2685_0,15.5,581.0,80.0,311,31,25,4,7.1,1
2701_0,16.3,452.0,86.0,1,24,38,4,7.3,1
2709_0,5.7,1334.0,75.0,2051,21,6,10,5.5,1
2714_0,11.2,1749.0,80.0,1371,33,21,14,5.5,1
2759_0,14.7,697.0,89.0,107,32,27,3,7.1,1
2769_0,14.9,820.0,92.0,69,31,23,5,6.5,1
2771_0,16.4,565.0,83.0,23,34,35,5,7.1,1
2791_0,7.5,1017.0,72.0,1526,22,8,12,5.8,1
2807_0,11.8,1593.0,81.0,1159,21,22,9,5.4,1
2813_0,8.0,368.0,57.0,1475,32,18,2,7.4,1
2818_0,4.4,1164.0,65.0,2235,22,10,18,5.5,1
2859_0,8.2,1599.0,77.0,1622,41,9,8,6.0,1
2864_0,11.6,1566.0,82.0,822,33,23,8,5.7,1
2876_0,11.4,1605.0,81.0,1090,22,24,8,5.5,1
2879_0,16.0,458.0,83.0,29,24,30,3,6.8,1
2882_0,10.3,1061.0,77.0,1064,34,20,3,7.3,1
2894_0,16.2,498.0,88.0,33,24,26,2,7.5,1
2910_0,8.2,1168.0,77.0,1474,41,16,16,5.3,1
2919_0,16.1,641.0,82.0,48,34,22,2,7.1,1
2932_0,14.7,903.0,70.0,643,22,20,4,6.8,1
2935_0,16.0,650.0,82.0,50,24,21,4,7.1,1
2957_0,17.0,611.0,76.0,105,34,24,2,7.1,1
2973_0,13.8,1243.0,80.0,709,33,25,11,5.8,1
2980_0,16.5,718.0,75.0,283,32,24,4,7.1,1
2982_0,16.5,583.0,86.0,30,34,21,4,7.3,1
2986_0,16.2,578.0,92.0,51,34,25,4,7.4,1
2992_0,16.2,674.0,82.0,45,34,32,4,7.2,1
2995_0,14.2,947.0,73.0,710,21,19,4,6.9,1
3003_0,15.7,472.0,87.0,58,32,30,3,7.3,1
3017_0,16.3,549.0,84.0,22,34,41,4,7.5,1
3034_0,15.4,551.0,83.0,268,32,27,3,7.1,1
3048_0,16.1,513.0,82.0,136,34,29,5,7.0,1
3065_0,16.7,554.0,78.0,71,41,23,2,7.2,1
3082_0,15.5,785.0,83.0,318,22,21,5,6.9,1
