sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
3_0,171.0,1323.0,17.0,51,34,21,2,59,5
29_0,158.0,1216.0,18.0,72,24,16,2,61,2
61_0,159.0,1226.0,19.0,73,24,18,2,61,3
70_0,144.0,1205.0,16.0,85,24,10,1,62,99
74_0,164.0,1318.0,20.0,47,34,26,2,64,1
95_0,161.0,1335.0,22.0,61,34,23,2,62,99
103_0,146.0,1204.0,16.0,90,34,13,2,60,5
108_0,170.0,1359.0,21.0,40,34,46,3,62,5
151_0,156.0,1247.0,20.0,66,41,16,2,61,1
173_0,155.0,1249.0,19.0,67,34,33,2,63,1
175_0,168.0,1318.0,21.0,49,24,31,8,67,3
176_0,166.0,1353.0,20.0,50,24,17,2,59,2
186_0,161.0,1263.0,20.0,64,34,22,2,60,5
188_0,161.0,1285.0,21.0,59,34,33,2,65,1
210_0,167.0,1351.0,21.0,51,34,34,3,59,3
218_0,159.0,1393.0,20.0,102,42,15,3,53,3
219_0,159.0,1285.0,20.0,86,24,15,7,57,3
220_0,165.0,1352.0,20.0,49,34,17,2,58,1
222_0,158.0,1237.0,20.0,69,24,11,2,60,5
241_0,148.0,1220.0,18.0,83,41,12,2,60,5
242_0,160.0,1251.0,20.0,64,31,36,4,60,5
249_0,159.0,1230.0,18.0,69,24,20,2,56,1
250_0,142.0,1199.0,16.0,139,21,15,2,58,5
323_0,157.0,1218.0,18.0,71,34,22,4,59,3
339_0,171.0,1394.0,21.0,46,34,26,5,61,5
342_0,160.0,1253.0,19.0,62,24,25,3,63,5
347_0,162.0,1266.0,19.0,57,34,35,5,62,99
353_0,143.0,1193.0,17.0,181,31,17,4,55,2
359_0,160.0,1289.0,20.0,58,34,18,2,60,5
368_0,162.0,1277.0,20.0,71,24,25,4,63,5
390_0,159.0,1263.0,20.0,66,24,39,3,62,1
398_0,170.0,1365.0,21.0,42,24,22,3,61,5
416_0,148.0,1234.0,19.0,82,24,10,2,60,5
438_0,171.0,1337.0,21.0,39,41,56,3,60,5
439_0,163.0,1289.0,20.0,51,24,31,6,63,3
443_0,141.0,1205.0,16.0,118,31,17,3,62,99
468_0,170.0,1410.0,21.0,83,21,15,3,58,2
472_0,165.0,1266.0,20.0,61,24,20,2,58,5
498_0,152.0,1217.0,18.0,77,24,23,3,65,99
521_0,161.0,1399.0,20.0,96,21,11,2,54,5
532_0,159.0,1228.0,18.0,70,24,24,3,57,3
548_0,162.0,1280.0,20.0,67,34,27,6,61,5
553_0,167.0,1375.0,21.0,45,34,23,2,60,99
555_0,166.0,1271.0,19.0,59,24,22,3,59,1
557_0,167.0,1310.0,19.0,60,24,26,5,54,5
562_0,148.0,1222.0,19.0,82,34,12,2,63,5
569_0,163.0,1270.0,20.0,55,41,24,8,56,3
581_0,148.0,1229.0,18.0,74,34,18,2,61,3
591_0,162.0,1286.0,19.0,77,31,25,2,53,5
599_0,160.0,1281.0,20.0,59,24,15,3,58,5
600_0,153.0,1254.0,18.0,78,34,31,21,65,5
614_0,161.0,1266.0,19.0,63,24,13,2,57,5
617_0,169.0,1347.0,21.0,39,41,36,3,62,5
638_0,158.0,1268.0,20.0,74,34,31,5,64,5
642_0,164.0,1274.0,20.0,68,24,18,2,58,3
656_0,160.0,1284.0,21.0,58,24,46,4,61,1
657_0,149.0,1211.0,17.0,86,34,27,13,57,5
