sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
0_0,160.0,455.0,87.0,48,34,24,2,76,1
3_0,147.0,701.0,92.0,5,34,29,2,69,1
8_0,91.0,1010.0,75.0,1333,21,15,9,61,1
17_0,169.0,957.0,78.0,150,24,22,4,70,1
19_0,159.0,454.0,88.0,2,24,30,4,73,1
31_0,163.0,604.0,80.0,47,34,26,4,72,1
33_0,117.0,1545.0,82.0,887,32,22,6,58,1
46_0,58.0,809.0,66.0,2016,22,9,13,60,1
47_0,66.0,1210.0,72.0,1845,21,11,14,54,1
50_0,156.0,394.0,85.0,-1,34,29,3,75,1
63_0,164.0,1078.0,79.0,255,22,26,2,69,1
85_0,82.0,1310.0,77.0,1635,21,10,19,59,1
99_0,164.0,509.0,85.0,16,34,29,3,74,1
107_0,165.0,474.0,84.0,12,34,33,5,73,1
131_0,162.0,561.0,93.0,32,34,24,3,69,1
135_0,57.0,1153.0,72.0,2126,23,6,13,56,1
169_0,82.0,1073.0,74.0,1483,31,14,9,56,1
173_0,97.0,1083.0,78.0,1252,41,14,10,58,1
210_0,162.0,475.0,88.0,30,24,27,2,72,1
216_0,161.0,501.0,83.0,104,21,23,3,72,1
265_0,159.0,424.0,84.0,17,24,33,2,74,1
299_0,156.0,367.0,85.0,-8,24,31,5,79,1
303_0,144.0,660.0,87.0,224,12,30,3,71,1
304_0,134.0,1290.0,81.0,691,31,24,6,60,1
346_0,76.0,1463.0,77.0,1745,31,12,14,55,1
373_0,162.0,479.0,88.0,36,32,24,2,75,1
379_0,160.0,451.0,83.0,20,24,19,2,69,1
398_0,156.0,410.0,87.0,-1,24,21,5,70,1
408_0,164.0,468.0,83.0,5,34,44,3,78,1
434_0,65.0,705.0,62.0,1772,22,10,9,60,1
450_0,76.0,1233.0,76.0,1685,31,11,14,57,1
473_0,152.0,457.0,89.0,1,34,31,2,73,1
510_0,152.0,893.0,73.0,560,11,23,4,71,1
532_0,162.0,645.0,81.0,53,34,27,3,72,1
533_0,63.0,1277.0,73.0,2002,22,11,14,55,1
543_0,74.0,1122.0,73.0,1692,21,13,11,58,1
